Team,TM Value,year
ARSENAL,414,2014
ASTON VILLA,114,2014
BURNLEY,52,2014
CHELSEA,557,2014
CRYSTAL PALACE,97,2014
EVERTON,182,2014
HULL CITY,117,2014
LEICESTER CITY,66,2014
LIVERPOOL,324,2014
MAN CITY,452,2014
MAN UTD,505,2014
NEWCASTLE,140,2014
QPR,112,2014
SOUTHAMPTON,210,2014
STOKE,110,2014
SUNDERLAND,91,2014
SWANSEA,130,2014
TOTTENHAM,304,2014
WEST BROM,95,2014
WEST HAM,135,2014
ARSENAL,457,2015
ASTON VILLA,117,2015
BOURNEMOUTH,99,2015
CHELSEA,553,2015
CRYSTAL PALACE,135,2015
EVERTON,249,2015
LEICESTER CITY,161,2015
LIVERPOOL,375,2015
MAN CITY,499,2015
MAN UTD,439,2015
NEWCASTLE,198,2015
NORWICH,116,2015
SOUTHAMPTON,225,2015
STOKE,147,2015
SUNDERLAND,111,2015
SWANSEA,145,2015
TOTTENHAM,371,2015
WATFORD,137,2015
WEST BROM,113,2015
WEST HAM,201,2015
ARSENAL,542,2016
BOURNEMOUTH,131,2016
BURNLEY,107,2016
CHELSEA,686,2016
CRYSTAL PALACE,228,2016
EVERTON,311,2016
HULL CITY,135,2016
LEICESTER CITY,218,2016
LIVERPOOL,425,2016
MAN CITY,606,2016
MAN UTD,531,2016
MIDDLESBROUGH,128,2016
SOUTHAMPTON,263,2016
STOKE,186,2016
SUNDERLAND,132,2016
SWANSEA,157,2016
TOTTENHAM,543,2016
WATFORD,175,2016
WEST BROM,123,2016
WEST HAM,273,2016
ARSENAL,694,2017
BOURNEMOUTH,144,2017
BRIGHTON,148,2017
BURNLEY,169,2017
CHELSEA,884,2017
CRYSTAL PALACE,220,2017
EVERTON,381,2017
HUDDERSFIELD,106,2017
LEICESTER CITY,304,2017
LIVERPOOL,857,2017
MAN CITY,1010,2017
MAN UTD,849,2017
NEWCASTLE,208,2017
SOUTHAMPTON,297,2017
STOKE,192,2017
SWANSEA,165,2017
TOTTENHAM,829,2017
WATFORD,196,2017
WEST BROM,165,2017
WEST HAM,260,2017
ARSENAL,659,2018
BOURNEMOUTH,310,2018
BRIGHTON,194,2018
BURNLEY,197,2018
CARDIFF,113,2018
CHELSEA,1170,2018
CRYSTAL PALACE,289,2018
EVERTON,529,2018
FULHAM,254,2018
HUDDERSFIELD,137,2018
LEICESTER CITY,434,2018
LIVERPOOL,1170,2018
MAN CITY,1200,2018
MAN UTD,797,2018
NEWCASTLE,244,2018
SOUTHAMPTON,305,2018
TOTTENHAM,898,2018
WATFORD,239,2018
WEST HAM,359,2018
WOLVES,239,2018
ARSENAL,607,2019
ASTON VILLA,231,2019
BOURNEMOUTH,272,2019
BRIGHTON,200,2019
BURNLEY,163,2019
CHELSEA,705,2019
CRYSTAL PALACE,189,2019
EVERTON,420,2019
LEICESTER CITY,411,2019
LIVERPOOL,1000,2019
MAN CITY,1050,2019
MAN UTD,670,2019
NEWCASTLE,252,2019
NORWICH,145,2019
SHEFFIELD UTD,138,2019
SOUTHAMPTON,210,2019
TOTTENHAM,806,2019
WATFORD,199,2019
WEST HAM,303,2019
WOLVES,320,2019
ARSENAL,619,2020
ASTON VILLA,430,2020
BRIGHTON,290,2020
BURNLEY,132,2020
CHELSEA,889,2020
CRYSTAL PALACE,193,2020
EVERTON,511,2020
FULHAM,239,2020
LEEDS UTD,238,2020
LEICESTER CITY,510,2020
LIVERPOOL,969,2020
MAN CITY,1040,2020
MAN UTD,770,2020
NEWCASTLE,255,2020
SHEFFIELD UTD,149,2020
SOUTHAMPTON,282,2020
TOTTENHAM,703,2020
WEST BROM,141,2020
WEST HAM,334,2020
WOLVES,450,2020